Sector 1,Sector 2,Similarity Score
Domestic Workers,Green Jobs,66.83434937619553
Green Jobs,Domestic Workers,66.83434937619553
Hydrocarbon,Green Jobs,66.83291040373904
Green Jobs,Hydrocarbon,66.83291040373904
Agriculture,Power,66.830674382776
Power,Agriculture,66.830674382776
PwD,Food Processing,66.82023410863972
Food Processing,PwD,66.82023410863972
Domestic Workers,Leather,66.78700782446215
Leather,Domestic Workers,66.78700782446215
Instrumentation,Infrastructure Equipment,66.76568474592572
Infrastructure Equipment,Instrumentation,66.76568474592572
Logistics,Green Jobs,66.76534476602068
Green Jobs,Logistics,66.76534476602068
Infrastructure Equipment,Leather,66.75819033503315
Leather,Infrastructure Equipment,66.75819033503315
Power,Leather,66.75392605740285
Leather,Power,66.75392605740285
Green Jobs,Sports,66.75387819656912
Sports,Green Jobs,66.75387819656912
Automotive,Sports,66.72795371351371
Sports,Automotive,66.72795371351371
Wood & Carpentry,Automotive,66.72372405496185
Automotive,Wood & Carpentry,66.72372405496185
Plumbing,Infrastructure Equipment,66.69669138357025
Infrastructure Equipment,Plumbing,66.69669138357025
Capital Goods & Manufacturing,Hydrocarbon,66.69001606279276
Hydrocarbon,Capital Goods & Manufacturing,66.69001606279276
Green Jobs,PwD,66.60004331282845
PwD,Green Jobs,66.60004331282845
BFSI,Sports,66.59501255167312
Sports,BFSI,66.59501255167312
Capital Goods & Manufacturing,Healthcare,66.58961724940202
Healthcare,Capital Goods & Manufacturing,66.58961724940202
"Water Supply, Sewerage, Waste Management & Remediation activities",Apparel,66.57459599532727
Apparel,"Water Supply, Sewerage, Waste Management & Remediation activities",66.57459599532727
Healthcare,BFSI,66.56183009145434
BFSI,Healthcare,66.56183009145434
Infrastructure Equipment,Telecom,66.54701329393387
Telecom,Infrastructure Equipment,66.54701329393387
"Education, Training & Research",Capital Goods & Manufacturing,66.54367901567974
Capital Goods & Manufacturing,"Education, Training & Research",66.54367901567974
Green Jobs,"Education, Training & Research",66.53647955922244
"Education, Training & Research",Green Jobs,66.53647955922244
Hydrocarbon,PwD,66.52974285276015
PwD,Hydrocarbon,66.52974285276015
Infrastructure Equipment,Hydrocarbon,66.52549931682273
Hydrocarbon,Infrastructure Equipment,66.52549931682273
Food Processing,Sports,66.52520334046437
Sports,Food Processing,66.52520334046437
Mining,Plumbing,66.5219306441444
Plumbing,Mining,66.5219306441444
Telecom,BFSI,66.50960966307952
BFSI,Telecom,66.50960966307952
Information Technology Sector,Sports,66.48026079105117
Sports,Information Technology Sector,66.48026079105117
Food Processing,Hydrocarbon,66.46972714969209
Hydrocarbon,Food Processing,66.46972714969209
Iron and Steel,Furniture & Fittings,66.45182301950716
Furniture & Fittings,Iron and Steel,66.45182301950716
PwD,BFSI,66.44623944818198
BFSI,PwD,66.44623944818198
"Education, Training & Research",Information Technology Sector,66.43660929258996
Information Technology Sector,"Education, Training & Research",66.43660929258996
Domestic Workers,Furniture & Fittings,66.42939745039662
Furniture & Fittings,Domestic Workers,66.42939745039662
Healthcare,Retail,66.42389910960915
Retail,Healthcare,66.42389910960915
Cross Sectoral,Mining,66.40857014001936
Mining,Cross Sectoral,66.40857014001936
Automotive,Iron and Steel,66.4008228503846
Iron and Steel,Automotive,66.4008228503846
Green Jobs,Furniture & Fittings,66.39181701927396
Furniture & Fittings,Green Jobs,66.39181701927396
Tourism & Hospitality,Telecom,66.38296248787837
Telecom,Tourism & Hospitality,66.38296248787837
Iron and Steel,Hydrocarbon,66.37861923737495
Hydrocarbon,Iron and Steel,66.37861923737495
Capital Goods & Manufacturing,Green Jobs,66.37837104800802
Green Jobs,Capital Goods & Manufacturing,66.37837104800802
"Education, Training & Research",Telecom,66.36965326749873
Telecom,"Education, Training & Research",66.36965326749873
Mining,Tourism & Hospitality,66.35857949653783
Tourism & Hospitality,Mining,66.35857949653783
Tourism & Hospitality,Logistics,66.34690947763292
Logistics,Tourism & Hospitality,66.34690947763292
Management,"Education, Training & Research",66.33060438027363
"Education, Training & Research",Management,66.33060438027363
Green Jobs,Infrastructure Equipment,66.32350540109984
Infrastructure Equipment,Green Jobs,66.32350540109984
Apparel,Retail,66.31017288819969
Retail,Apparel,66.31017288819969
Capital Goods & Manufacturing,Infrastructure Equipment,66.30653506721377
Infrastructure Equipment,Capital Goods & Manufacturing,66.30653506721377
Healthcare,Telecom,66.3041688505436
Telecom,Healthcare,66.3041688505436
Automotive,Food Processing,66.27449848327117
Food Processing,Automotive,66.27449848327117
Healthcare,"Water Supply, Sewerage, Waste Management & Remediation activities",66.26385758424088
"Water Supply, Sewerage, Waste Management & Remediation activities",Healthcare,66.26385758424088
Furniture & Fittings,Telecom,66.2565904241514
Telecom,Furniture & Fittings,66.2565904241514
Logistics,Hydrocarbon,66.25581991965005
Hydrocarbon,Logistics,66.25581991965005
Hydrocarbon,Plumbing,66.25542278336553
Plumbing,Hydrocarbon,66.25542278336553
Furniture & Fittings,Sports,66.23283607742117
Sports,Furniture & Fittings,66.23283607742117
Retail,Capital Goods & Manufacturing,66.22897437176485
Capital Goods & Manufacturing,Retail,66.22897437176485
BFSI,Life Sciences,66.22697613878125
Life Sciences,BFSI,66.22697613878125
Sports,Iron and Steel,66.21264704755062
Iron and Steel,Sports,66.21264704755062
Tourism & Hospitality,Automotive,66.21041321714763
